,band_names
0,Small Town Runaway
1,Ron White
2,Bleach Black
3,The News
4,B Radicals
5,Conjunto Brio Norteño
6,Oregon Symphony
7,La Migra
8,The Purple Ones - Insatiable Tribute to Prince
9,Paper Lights
10,Leif Totusek
11,Cool Nutz
12,Chromeo
13,Luttrell
14,Resurrection of Faith Tour
15,Kownterpoint
16,Wil Kinky
17,The Chavez Ravine
18,Doug MacLeod
19,Brent Amaker & The Rodeo
20,The Battlefield
21,Temecula Road
22,Ries Brothers
23,LindaRonstadt
24,Kcon
25,Through N Through
26,the Dizzies
27,Fear Is Dead
28,Los Angeles Leakers
29,The Lique
30,The Sea The Sea (US)
31,Frigid
32,Tom Hutch
33,Moorea Masa
34,DJ Supe
35,BJ Barham
36,Pimpinela
37,Loveless Root
38,Dog Party
39,Alex Cruz
40,Shovels and Rope
41,Thompson Twins' Tom Bailey
42,Lyndsey Jones
43,The Church Band
44,The DANGALEROS
45,Black Market III
46,In the Led
47,Cornelio Vega y su Dinastía
48,Wonder
49,Back2Back
50,Prissy Whip
51,Black Joe Lewis & The Honeybears
52,Maceo Parker
53,Heartless - A Tribute to the Rock Band Heart
54,Bexey
55,The Lowdown Drifters
56,Jet Echo
57,Christa Burch
58,Veil of Maya
59,Houston Dash
60,DJ Scotty Boy
61,Iamdjemd
62,STOMPIN' GROUND
63,Flaw
64,J.Sirus
65,"Nothing,Nowhere."
66,Seth Hollender
67,Semaj
68,Colin Jones
69,Rick Springfield
70,Naked Giants
71,Drake
72,Jon Campos & The Incurables
73,Vinnie Moore
74,Rebecca Kilgore
75,2 Libras
76,Siren
77,Caamp
78,The Cadillac Three
79,ANiMAL
80,Alex's Bar Karaoke
81,The Dan Band
82,Electric
83,Cody Jinks
84,All-4-One
85,NMTA
86,Ottmar Liebert
87,Quartom
88,The No. 44
89,The Four Tops.
90,Todd Snider
91,Stephanie Schneiderman
92,The Secret Garden
93,The Palouse Project
94,Audio1
95,Acid King
96,Boy George
97,BXS
98,JAGGS
99,Michael Christmas
100,The Melisizwe Brothers
101,Mank
102,The Drip
103,Swimsuit Issue
104,Maitri (US)
105,Ohmme
106,Sunny Lax
107,Jake Crocker
108,Terror Universal
109,Briana Renea Music
110,Matt Williams
111,Amanda Miguel Y Diego Verdaguer
112,Tomorrow
113,Sevin
114,Arbour Season
115,Ghosts of the Pacific
116,The Peculiar Pretzelmen
117,Colin Easthope Music
118,SolEssential
119,Slaughter Beach
120,VCTMS
121,Matt Hammitt
122,SNAKEHIPS
123,Prism
124,Tim Atlas
125,Luna Negra
126,Forrest Reed
127,Focus Your Audio
128,Tierra
129,And Then Came Humans
130,Ken Peplowski
131,Faith Artist Agency
132,Gene Cornish
133,Roger Daltrey
134,Heather Layne
135,Phenom
136,Runaway June
137,Tomten
138,World of Dance
139,Lucki
140,Kung Foo Grip
141,Steph Macpherson
142,Innasci
143,Pacific Roots
144,Mary's Gunns
145,Speaker Child
146,Solvents
147,Schwey
148,Kat Fountain
149,Toree McGee
150,Collective Soul
151,Tom Papa
152,Queen Nation
153,Josh Heinrichs
154,Lara Hope & The Ark-Tones
155,korgy & bass
156,Coyote Willow
157,Ronnie Horton Ministries
158,I AM
159,Mack Brock
160,Loverboy
161,DoveDriver
162,Long Beach Dub Allstars
163,Sam C. Jones
164,Jaskamon
165,Sound and Stone
166,Will Breman
167,David Foster
168,Moonshine Mountain
169,Grant Gordy
170,The Mick Schafer Band
171,Journeymen
172,The Morning After
173,YOUNG BOMBS
174,Joseph Arthur
175,Dilly Dally
176,Cigarettes After Sex
177,Dave Koz
178,Teresa Trull
179,Hunter Hill
180,Blue Rodeo
181,What's Wrong
182,Radney Foster
183,Omari Jazz
184,Carbon Leaf
185,Trauma Del Rey
186,Aki Starr
187,Western Daughter
188,The Waysiders
189,Blanca
190,the Stuntmen
191,Sergey Ignatov
192,Nicki Bove
193,Caroline Jones
194,Westward
195,Chloe Wallace
196,Naomi Wachira
197,Dan Cummins
198,Danika & The Jeb
199,Luau Cinder
200,The Hottman Sisters
201,Lizzie Weber
202,I Am Infamy
203,This Charming Band
204,Dirty Rugs
205,EmiSunshine
206,Neutralboy
207,Stone Temple Pilots
208,Beach House
209,Dead Fibres
210,Cold Blood
211,Littlefoot
212,Cascade Crescendo
213,The Creation Factory
214,EOTO
215,Pacific Rhythm
216,Honcho Poncho
217,Coheed and Cambria
218,The Fabulous Thunderbirds
219,Keith Sweat
220,Sold
221,Wham City
222,Abandoned
223,Cullen Omori
224,Finding Neverland
225,Yotam Ben-Horin
226,DJ Quik
227,Grynch
228,Campfire Shitkickers
229,Fancy Pants
230,Jamie Wyatt
231,Scott Guberman
232,Brent Amaker and the Rodeo
233,The Gold Souls
234,Brandon Pasion
235,Cryptamnesia
236,Ian Maksin
237,Datenite
238,Elton John
239,Five Alarm Funk
240,Chris Robinson Brotherhood
241,Esham
242,David Shyde
243,The Runaway Four
244,Black Pistol Fire
245,Andy Coe Band
246,Alabama
247,The Humble Hooligans
248,The Mavericks
249,The Glyph
250,Metz
251,La Vie en Rose
252,Coolio
253,The Higgs
254,Buckmaster
255,We Banjo 3
256,The FrogHollow Band
257,Montage (CA)
258,Jason Ross
259,Lito Hernandez
260,Lisa Prank
261,Common Kings
262,Four Stroke Baron
263,Brandon Lay
264,Toadface
265,Don Felder
266,Mountain
267,The DooWopProject
268,Rex Navarrete
269,T-Bone
270,Krystle Dos Santos
271,Kyle Guerrero
272,Sta
273,Illustrious
274,Pedro the Lion
275,Satsang
276,The Evening Attraction
277,entheos
278,Live Again
279,Olivia Rohde
280,Riot Ten
281,Teepee Creeper
282,Crushwater
283,Tony Furtado
284,Lavoy
285,DJ Matt Stands
286,In The Grove
287,Uniform
288,Life As Cinema
289,Chris Baum Project
290,Lorenzo Wood Music
291,Byron Katie
292,Strangers
293,Micky and the Motor Cars
294,Del Beazley
295,City Girls
296,Los Lonely Boys
297,New Breed Brass Band
298,For the Fallen Dreams
299,Richard Vagner Music
300,Ben Cottrill
301,Boots
302,Natalie Macmaster & Donnell Leahy
303,"Cruella (All Women, All Crue)"
304,Filthy Traitors
305,Psicosis
306,Cyanotic
307,Shakey Blankets
308,The Sleeping Souls
309,Dear Rouge
310,Camila
311,Metal Echo
312,Dawn of life
313,Casey Donahew
314,Carpool Tunnel
315,The Sonics
316,Vibrissae
317,Rachel Torro
318,Tangients
319,Mark Farina
320,Cornelio Vega Jr
321,Cactus Jam Band
322,River Whyless
323,DJ Indica Jones
324,Xingaia
325,Vice City
326,David Maldonado
327,JACK HARLOW
328,X-Ecutioners
329,RaKeeM
330,Morgan Page
331,In Her Own Words
332,Champion Sound
333,One Drop
334,The Sumner Brothers
335,Tyler Alexis
336,Neptune's Ride
337,Animal|Inside
338,Jared Jackson
339,Con Solo
340,Mitchell Tenpenny
341,Yak Attack
342,Sis (US)
343,Elder Brother
344,Próxima Parada
345,Lisa Daggs with Ronnie Horton
346,Calixto Oviedo on Drums
347,Mark Ronson
348,Sarah Darling
349,Alice Dimicele
350,Seattle
351,Overland
352,Doublecross
353,Ultrafaux
354,Shotgun Sawyer
355,HeRobust
356,Hollywood Blonde
357,Fir
358,Warren Dunes
359,VinCi & Her Groove Sector
360,Troy Kody Cunio
361,Old Salt Union
362,Testament
363,One Street Over
364,Nasty Women
365,Sundressed
366,Fetty Wap
367,Underwhelming Favorites
368,Ron Artis II
369,The Get Ahead
370,Mob Bounce
371,Todd O'Neill
372,Space Vacation
373,The Long Run Ultimate Eagles Tribute
374,TBone
375,Palatine Trio
376,Bob Franceschini
377,Wasted Breath
378,Brent Cobb
379,Odd Squad Family
380,Sonia Barcelona
381,Boom Boom Kid
382,Leah Shoshanah
383,Cornflower
384,Uptown Funk - Tribute to Bruno Mars
385,Girl Ultra
386,Fantuzzi Music
387,Femmes of Rock
388,Zigtebra
389,Carlos Sé
390,Trio Subtonic
391,Sagey
392,Cardinal Moon
393,Tylor & the Train Robbers
394,Betsy Olson
395,As The Crow Flies
396,Rumble pak
397,WANTED: The Ultimate Tribute to Bon Jovi
398,Jaime Wyatt
399,Stephen Lewis
400,Branch & Arrow
401,DoomBird
402,Good Touch
403,David Mascorro
404,Dance Club
405,Y&T
406,Mutt
407,Bren Plummer
408,Cody Beebe & The Crooks
409,Quinn Hedges
410,InFluence
411,Angel Olsen
412,Joel McHale
413,12th Planet
414,Ultimate Adams - The Ultimate Tribute to Bryan Adams
415,Tush
416,Slave to the grind
417,Holehearted
418,Jo Passed
419,Matt Andersen
420,Provoker
421,Umii
422,Zak Fennie
423,Café Tacuba
424,3 Doors Down
425,Madison Hudson
426,Ed Sheeran
427,The Accidentals
428,Phillip Brandon
429,Nicolay
430,Aquaria
431,Vocal Trash
432,Caitlin Jemma
433,We Are Messengers
434,SahBabii
435,Bone
436,Punch Brothers
437,KOTF Quartet
438,kele fleming
439,Raye Zaragoza
440,Moontower
441,Old Dominion
442,Emisunshine and The Rain
443,Dog n Butterfly
444,Nicky Romero
445,Jess Jones
446,Split Secs
447,Lani Hall
448,Stratus
449,Michael Franti & Spearhead
450,Banda Los Sebastianes
451,Fritzwa
452,Andy Shauf
453,Deadbeat
454,Gus Clark
455,Son Of Dave
456,COCO JAFRO
457,Plumb
458,Hellzapoppin Circus Sideshow
459,Kelly Ann
460,Glacier Veins
461,Horse Opera
462,Orphan Jon and The Abandoned
463,Antsy McClain and The Trailer Park Troubadours
464,Peter Furler
465,Zach Gill
466,BaLTIMORE ORIOLES
467,Double Wide
468,Peter Rowan
469,Juni Fisher
470,Navid Eliot
471,Lounge Act: A Nirvana Tribute Band
472,The Doo Wop Project
473,The CUF
474,Headshine
475,The Smashing Pumpkins
476,Tinsley Ellis
477,Amos Lee
478,Op
479,Iron & Wine
480,Steppe Bison
481,Marion Walker
482,Martha Wainwright
483,Marmalade
484,Collie Buddz
485,CHRCH
486,The Albertson Duo
487,Late Night Radio
488,Zony Mash
489,Alex Falk
490,Pete Tong
491,Lil Baby
492,Ragged Union
493,Common Holly
494,Amy Helm
495,Omega Tribe
496,Air Supply
497,Beth Whitney
498,Clutch
499,The Honest
500,Wang Chung
501,Maria Muldaur
502,Richter Entertainment Group
503,The Co Founder
504,Seafoam Green
505,Tom Hambridge
506,Broken Social Scene
507,Disorganized Jazz Trio
508,Sales
509,Los Karkis
510,The Blue Dreamers
511,John Crist
512,Crawdad Republic
513,Jango
514,Smoky Knights
515,Monstercat
516,Mojo Holler
517,Daniel Champagne Music
518,Lil Gnar
519,Bodega
520,Emo Nite
521,Scapegoat
522,Chris Stapleton
523,Kris Allen
524,No BS! Brass Band
525,Protest the Hero
526,Mike Vitale
527,Moonshiner Collective
528,Bitterly Divine
529,Fringe
530,Rina & Hugo
531,Charlie Farley
532,BhangraFunk
533,Mystic Braves
534,Shinedown
535,Nick Drummond
536,Dirt Monkey
537,Los Gamma
538,King Buffalo
539,Pacific Dub
540,David Myles
541,Igwe Aka
542,Lindi Ortega
543,The Sweet Little Lies
544,Ockham's Razor
545,Zakk Wylde
546,Tommy Castro
547,Michal Menert
548,Josh Taylor
549,Designer Disguise
550,Laurie Lewis
551,Steel Pulse
552,Blues Power
553,SassyBlack
554,Old Coast
555,Jocelyn
556,Pete RG
557,The Browning
558,Shark Toys
559,Tyler Rich
560,Kirsten Ludwig
561,Marlon Martinez
562,Amilton Godoy
563,The Moon is Flat
564,Diego's Umbrella
565,The Spill
566,St. Vincent
567,Gods of rock
568,ONOFF
569,The Tweeners
570,Chris Lake
571,Modest Mouse
572,The Departed
573,Car 87
574,Plague Vendor
575,David
576,Upstream
577,Maria Bamford
578,Whitney Lyman
579,Cumulus
580,Matt McAndrew
581,Willie Gonzalez
582,goawaysun
583,Foo Fighters
584,Yächtley Crëw
585,Rob Sonic
586,Withholder
587,Sabrina Claudio
588,Aaron Tippin
589,Adam Torres
590,The Disorderlies
591,Southern Drawl Band
592,The Village Idiot
593,Selena Tribute Band
594,Sam Ravenna
595,The Oakland Crush
596,BIRDS OF FORTUNE
597,The Whiskey Kiss Band
598,John Nemeth
599,Terry Robb
600,Rushad Eggleston
601,Royalty Records Inc.
602,Peter QB
603,Craig Jaffe
