,artist_id,venue_id,event_id
0,7,2016,1
1,7,3918,1
2,12,1543,1
3,12,2765,1
4,12,5263,1
5,14,1744,1
6,14,2016,1
7,14,2898,1
8,14,3225,1
9,14,4399,1
10,18,999,1
11,18,1537,1
12,18,2799,1
13,18,4080,1
14,21,1632,1
15,28,999,1
16,28,4786,1
17,35,1096,1
18,35,2918,2
19,35,4190,1
20,45,117,1
21,45,1892,1
22,45,3883,1
23,47,1536,1
24,47,1810,1
25,47,2764,1
26,47,4183,1
27,61,2006,1
28,61,2123,1
29,61,4770,1
30,64,1744,1
31,64,4111,1
32,64,5404,1
33,65,1888,1
34,65,4580,1
35,79,999,1
36,79,2334,1
37,79,3710,2
38,79,4786,1
39,96,2760,1
40,96,4080,1
41,96,4399,1
42,100,1748,1
43,100,2898,1
44,100,3225,1
45,100,3703,1
46,100,4111,1
47,100,4399,1
48,100,5378,1
49,117,109,1
50,117,1809,1
51,117,2135,1
52,117,2378,1
53,118,2967,1
54,118,2968,1
55,118,2969,1
56,118,2970,1
57,128,1744,1
58,128,2898,1
59,128,4111,1
60,129,1538,1
61,130,1648,1
62,138,999,1
63,166,999,1
64,166,3710,2
65,167,149,1
66,167,4655,1
67,192,5319,1
68,192,5320,1
69,192,5321,1
70,207,1542,1
71,207,1720,1
72,207,2764,1
73,207,4183,1
74,207,5263,2
75,209,2000,1
76,209,2545,1
77,209,4183,1
78,210,2097,1
79,210,2799,1
80,210,5118,1
81,228,1182,1
82,228,1183,1
83,228,1184,1
84,228,2315,1
85,228,2316,1
86,228,2317,1
87,230,147,1
88,230,5399,1
89,240,1140,1
90,250,743,1
91,250,2333,1
92,250,2898,1
93,250,3918,1
94,270,147,1
95,270,5399,1
96,275,3918,1
97,276,659,1
98,276,1543,1
99,276,1811,1
100,276,2804,1
101,276,4080,1
102,283,1654,1
103,310,2006,1
104,310,3887,1
105,310,5150,1
106,329,2661,1
107,329,2684,1
108,329,3893,1
109,333,153,1
110,333,4586,1
111,333,5225,1
112,338,999,1
113,338,1538,1
114,338,2799,1
115,338,4080,1
116,343,934,1
117,343,999,1
118,360,5198,1
119,369,3056,1
120,373,2006,1
121,373,2120,1
122,373,3887,1
123,373,5116,1
124,386,3918,1
125,389,499,1
126,389,1543,1
